"full_name","class","e","a","i","om","w","ma","per","moid","moid_ld","pha","H","diameter","albedo","rot_per","epoch"
"   433 Eros (A898 PA)",AMO,0.2228,1.458,10.83,304.27,178.93,310.55,643,0.148,57.7,N,10.39,16.84,0.25,5.27,2461000.5
"   719 Albert (A911 TB)",AMO,0.5466,2.637,11.57,183.86,156.19,240.61,1.56e+03,0.201,78.3,N,15.59,,,5.801,2461000.5
"   887 Alinda (A918 AA)",AMO,0.5712,2.474,9.40,110.41,350.53,81.54,1.42e+03,0.0797,31,N,13.81,4.2,0.31,28.41,2461000.5
"  1036 Ganymed (A924 UB)",AMO,0.5332,2.665,26.68,215.44,132.50,97.59,1.59e+03,0.343,134,N,9.18,37.675,0.238,10.297,2461000.5
"  1221 Amor (1932 EA1)",AMO,0.4346,1.92,11.87,171.24,26.76,59.87,972,0.108,42,N,17.37,1.0,,,2461000.5
"  1566 Icarus (1949 MA)",APO,0.8270,1.078,22.80,87.95,31.44,153.08,409,0.0335,13,Y,16.53,1.0,0.51,2.2726,2461000.5
"  1580 Betulia (1950 KA)",AMO,0.4876,2.195,52.19,62.22,159.72,80.27,1.19e+03,0.132,51.6,N,14.61,5.8,0.08,6.1324,2461000.5
"  1620 Geographos (1951 RA)",APO,0.3355,1.246,13.34,337.14,277.02,212.92,508,0.0294,11.4,Y,15.27,2.56,0.290,5.22204,2461000.5
"  1627 Ivar (1929 SH)",AMO,0.3973,1.863,8.46,133.07,167.84,311.46,929,0.109,42.5,N,12.79,9.12,0.15,4.795,2461000.5
"  1685 Toro (1948 OA)",APO,0.4360,1.368,9.38,274.21,127.28,82.68,584,0.0511,19.9,N,14.28,3.4,0.31,10.1995,2461000.5
"  1862 Apollo (1932 HA)",APO,0.5599,1.471,6.35,35.54,286.05,113.88,652,0.026,10.1,Y,16.08,1.5,0.25,3.065,2461000.5
"  1863 Antinous (1948 EA)",APO,0.6063,2.26,18.38,345.55,269.07,289.56,1.24e+03,0.187,72.9,N,15.46,2.1,0.24,7.453,2461000.5
"  1864 Daedalus (1971 FA)",APO,0.6144,1.461,22.22,6.60,325.66,257.57,645,0.269,105,N,14.84,3.7,0.273,8.572,2461000.5
"  1865 Cerberus (1971 UA)",APO,0.4669,1.08,16.10,212.88,325.29,319.67,410,0.157,60.9,N,16.79,1.2,0.22,6.8039,2461000.5
"  1866 Sisyphus (1972 XA)",APO,0.5381,1.893,41.21,63.45,293.10,140.66,952,0.104,40.3,N,12.48,8.48,0.15,2.4,2461000.5
"  1915 Quetzalcoatl (1953 EA)",AMO,0.5702,2.545,20.40,162.92,347.76,21.62,1.48e+03,0.109,42.4,N,18.38,0.5,0.21,4.9,2461000.5
"  1916 Boreas (1953 RA)",AMO,0.4492,2.273,12.88,340.60,335.85,35.11,1.25e+03,0.252,98.2,N,14.92,3.5,,3.4746,2461000.5
"  1917 Cuyo (1968 AA)",AMO,0.5055,2.149,23.96,188.27,194.55,160.09,1.15e+03,0.0717,27.9,N,14.38,5.7,0.195,2.689,2461000.5
"  1943 Anteros (1973 EC)",AMO,0.2559,1.431,8.71,246.29,338.44,260.37,625,0.0609,23.7,N,15.69,2.3,0.17,2.86923,2461000.5
"  1980 Tezcatlipoca (1950 LA)",AMO,0.3647,1.709,26.87,246.54,115.47,211.50,816,0.245,95.4,N,13.81,4.3,0.25,7.24612,2461000.5
"  1981 Midas (1973 EA)",APO,0.6505,1.776,39.82,356.79,267.84,65.35,865,0.00277,1.08,Y,15.25,3.4,,5.22,2461000.5
"  2059 Baboquivari (1963 UA)",AMO,0.5316,2.642,11.02,200.69,192.46,143.16,1.57e+03,0.245,95.4,N,15.98,,,129.47,2461000.5
"  2061 Anza (1960 UA)",AMO,0.5356,2.265,3.80,207.35,157.11,38.89,1.25e+03,0.0558,21.7,N,16.70,2.6,,6.712,2461000.5
"  2062 Aten (1976 AA)",ATE,0.1829,0.967,18.94,108.53,148.08,32.64,347,0.113,44,N,17.11,1.1,0.26,42.15,2461000.5
"  2063 Bacchus (1977 HB)",APO,0.3494,1.078,9.43,33.04,55.35,234.79,409,0.0667,26,N,17.21,1.024,0.203,14.904,2461000.5
"  2100 Ra-Shalom (1978 RA)",ATE,0.4365,0.832,15.76,170.76,356.08,249.11,277,0.15,58.3,N,16.25,2.3,0.13,19.797,2461000.5
"  2101 Adonis (1936 CA)",APO,0.7641,1.874,1.32,349.41,43.71,24.48,937,0.0115,4.48,Y,18.69,0.6,,,2461000.5
"  2102 Tantalus (1975 YA)",APO,0.2994,1.29,64.01,94.35,61.50,347.36,535,0.0426,16.6,Y,16.00,1.649,0.245,2.384,2461000.5
